230   alpha=1.0245 beta=1.8556,    на последнем интервале alpha=0.7815, beta= 1.0615
231   alpha=1.0236 beta=1.9190,    на последнем интервале alpha=0.7805, beta= 1.0618
232   alpha=1.0018 beta=1.7967,    на последнем интервале alpha=0.7418, beta= 1.0720
233   alpha=1.0062 beta=1.9403,    на последнем интервале alpha=0.7585, beta= 1.0676
234   alpha=0.9945 beta=1.9126,    на последнем интервале alpha=0.7617, beta= 1.0668
235   alpha=0.9827 beta=1.8842,    на последнем интервале alpha=0.7649, beta= 1.0659
236   alpha=0.9577 beta=1.8319,    на последнем интервале alpha=0.7350, beta= 1.0738
237   alpha=0.9548 beta=1.9138,    на последнем интервале alpha=0.7395, beta= 1.0726
238   alpha=0.9496 beta=1.8914,    на последнем интервале alpha=0.7338, beta= 1.0741
239   alpha=0.9445 beta=1.8692,    на последнем интервале alpha=0.7280, beta= 1.0756
240   alpha=0.9122 beta=1.8361,    на последнем интервале alpha=0.7209, beta= 1.0774
241   alpha=0.9014 beta=1.9023,    на последнем интервале alpha=0.7079, beta= 1.0807
242   alpha=0.8816 beta=1.8083,    на последнем интервале alpha=0.7024, beta= 1.0821
243   alpha=0.8618 beta=1.7134,    на последнем интервале alpha=0.6969, beta= 1.0835
244   alpha=0.8727 beta=1.9244,    на последнем интервале alpha=0.6830, beta= 1.0871
245   alpha=0.8554 beta=2.0312,    на последнем интервале alpha=0.6674, beta= 1.0910
246   alpha=0.8453 beta=1.9689,    на последнем интервале alpha=0.6571, beta= 1.0935
247   alpha=0.8354 beta=1.9071,    на последнем интервале alpha=0.6468, beta= 1.0961
248   alpha=0.8256 beta=1.9139,    на последнем интервале alpha=0.6229, beta= 1.1019
249   alpha=0.7924 beta=1.8138,    на последнем интервале alpha=0.6380, beta= 1.0982
250   alpha=0.7972 beta=1.8543,    на последнем интервале alpha=0.6201, beta= 1.1026
251   alpha=0.8020 beta=1.8940,    на последнем интервале alpha=0.6022, beta= 1.1069
252   alpha=0.7819 beta=1.9041,    на последнем интервале alpha=0.6380, beta= 1.0982
